# suite	byond-canonical
# byond_version	516
# byond_build	1666
# system	windows
# tick_lag	0.5
# min_ds	15
kind	id	category	name	value	unit	expected	status	dt_ds	notes
ASSERT	view.twopass_equivalence	view	cached and re-queried two-pass return identical counts	1		1	PASS		441 vs 441
MEASURE	view.twopass_cached	view	cache list, two typed loops	366.7	us			22	
MEASURE	view.twopass_requery	view	call view() twice inline	192.9	us			27	
MEASURE	view.family_view	view	for(mob in view(7,c))	50	us			30	
MEASURE	view.family_oview	view	for(mob in oview(7,c))	27.3	us			30	
MEASURE	view.family_viewers	view	for(mob in viewers(7,c))	25	us			30	
MEASURE	view.family_range	view	for(mob in range(7,c))	10.4	us			28	
MEASURE	view.radius_1	view	for(mob in view(1,c))	1.88	us			30	
MEASURE	view.radius_3	view	for(mob in view(3,c))	6.47	us			22	
MEASURE	view.radius_5	view	for(mob in view(5,c))	17.5	us			28	
MEASURE	view.radius_7	view	for(mob in view(7,c))	48.3	us			29	
MEASURE	view.radius_10	view	for(mob in view(10,c))	41.4	us			29	
MEASURE	view.clutter_0_raw	view	view(7) build with 0 extra objs	240	us			24	667 atoms
MEASURE	view.clutter_0_typed	view	typed loop with 0 extra objs	27.3	us			30	45.1 mobs
ASSERT	view.typed_loop_skips_build	view	typed loop grows far less than raw view() as clutter rises	1		1	PASS		raw x6.8, typed x1.3 at 1867.1 atoms, 45.1 mobs
MEASURE	view.clutter_1200_raw	view	view(7) build with 1200 extra objs	1640	us			164	1867.1 atoms
MEASURE	view.clutter_1200_typed	view	typed loop with 1200 extra objs	36.4	us			40	45.1 mobs
ASSERT	view.los_cost_is_unconditional	view	view() cost does not rise with opaque atom count	1		1	PASS		52 us clear vs 32 us with 200 opaque
ASSERT	view.occlusion_works	view	opaque atoms actually occlude	1		1	PASS		41 mobs visible, 4 with 200 opaque
SECTION	view			70.8	s				
MEASURE	lists.in_n10	lists	needle in L, n=10, worst case	0.12	us			27	
MEASURE	lists.assoc_n10	lists	A[needle], n=10	0.11	us			26	
MEASURE	lists.in_n100	lists	needle in L, n=100, worst case	0.33	us			59	
MEASURE	lists.assoc_n100	lists	A[needle], n=100	0.14	us			30	
MEASURE	lists.in_n1000	lists	needle in L, n=1000, worst case	2.34	us			72	
MEASURE	lists.assoc_n1000	lists	A[needle], n=1000	0.15	us			32	
MEASURE	lists.in_n5000	lists	needle in L, n=5000, worst case	11.9	us			72	
MEASURE	lists.assoc_n5000	lists	A[needle], n=5000	0.18	us			36	
MEASURE	lists.build_plus	lists	L = list(); L += j  x100	11.3	us			17	per 100-element list
MEASURE	lists.build_add	lists	L = list(); L.Add(j)  x100	18.7	us			28	per 100-element list
MEASURE	lists.build_prealloc	lists	L = new(100); indexed assign x100	14	us			21	per 100-element list
MEASURE	lists.copy_100	lists	L.Copy(), 100 elements	1.87	us			28	
SECTION	lists			44.9	s				
MEASURE	dispatch.istype	dispatch	istype(O, /obj/thing)	0.09	us			23	
MEASURE	dispatch.type_eq	dispatch	O.type == /obj/thing	0.12	us			27	
MEASURE	dispatch.bitfield	dispatch	O.flags & FLAG_A	0.09	us			23	
MEASURE	dispatch.assoc_category	dispatch	O.cats assoc lookup	0.15	us			32	
MEASURE	dispatch.locate_in_contents	dispatch	locate(type) in O, 1 item	0.14	us			30	
SECTION	dispatch			13.5	s				
MEASURE	calls.global_proc	calls	GlobalProc(), empty	0.13	us			29	
MEASURE	calls.datum_method	calls	D.Method(), empty	0.17	us			35	
MEASURE	calls.datum_method_dot	calls	D.Method(), sets . = 1	0.18	us			36	
MEASURE	vars.local	calls	acc += local_var	0.03	us			29	
MEASURE	vars.global	calls	acc += global_var	0.02	us			24	
MEASURE	vars.world_time	calls	acc += world.time	0.05	us			33	
MEASURE	vars.datum	calls	acc += D.x	0.1	us			49	
SECTION	calls			23.5	s				
MEASURE	strings.embed	strings	s = embedded expression	0.32	us			19	
MEASURE	strings.concat	strings	s = a + b	0.36	us			21	
MEASURE	strings.num2text	strings	num2text(i)	0.89	us			19	
MEASURE	strings.findtext	strings	findtext, 43-char haystack	2.44	us			25	
SECTION	strings			8.4	s				
MEASURE	alloc.datum	alloc	new /datum	0.21	us			27	
MEASURE	alloc.datum_holder	alloc	new /datum/pc_holder	0.24	us			30	
MEASURE	alloc.obj	alloc	new /obj	0.46	us			21	
MEASURE	alloc.mob	alloc	new /mob	0.59	us			26	
SECTION	alloc			10.5	s				
MEASURE	movement.loc_assign	movement	M.loc = T	0.27	us			20	plain turf, no callbacks
MEASURE	movement.move_proc	movement	M.Move(T)	2.64	us			54	plain turf, engine callbacks only
MEASURE	movement.move_proc_overridden	movement	M.Move(T) with 4 overridden callbacks	4.29	us			87	cost of user hooks on top of Move()
ASSERT	movement.move_fires_callbacks	movement	Move() fires Enter, Exit, Entered and Exited	1		1	PASS		Enter=1000 Exit=1000 Entered=1000 Exited=1000 over 1000 moves
ASSERT	movement.loc_assign_skips_callbacks	movement	assigning loc fires none of them	0		0	PASS		
SECTION	movement			16.1	s				
ASSERT	io.file_write_does_not_yield	io	file write does not yield to the scheduler	1		1	PASS		world.time 395 before, 395 after 4000 writes
ASSERT	io.world_log_does_not_yield	io	world.log write does not yield to the scheduler	1		1	PASS		world.time 395 before, 395 after 4000 writes
MEASURE	io.file_write_short	io	file << 10-char line	274.9	us			22	
MEASURE	io.file_write_long	io	file << 1000-char line	299.9	us			24	
ASSERT	io.write_cost_is_per_call_not_per_byte	io	write cost is dominated by the call, not the payload	1		1	PASS		274 us at 10 chars, 300 us at 1000 chars, 100x the data
MEASURE	io.world_log_short	io	world.log << 10-char line	4.94	us			20	
ASSERT	io.world_log_far_cheaper_than_file	io	world.log is dramatically cheaper than a direct file write	1		1	PASS		world.log 4 us vs file 274 us
MEASURE	io.file_write_interpolated	io	file << line with one embedded value	312.4	us			25	includes string building
ASSERT	io.logging_does_not_perturb	io	a burst of writes does not shift a following measurement	1		1	PASS		reference 0.15 us, after 500 file writes 0.14, after 500 world.log 0.15
SECTION	io			14.6	s				
MEASURE	calls.user_0args	calls	user proc, 0 args	0.12	us			27	
MEASURE	calls.user_1arg	calls	user proc, 1 arg	0.16	us			33	
MEASURE	calls.user_4args	calls	user proc, 4 args	0.18	us			36	
MEASURE	calls.user_8args	calls	user proc, 8 args	0.25	us			47	
ASSERT	calls.args_are_copied	calls	call cost rises with argument count	1		1	PASS		0 args 0.116 us, 8 args 0.249 us
MEASURE	calls.builtin_abs	calls	abs(x), hard builtin	0.02	us			13	LOW_RESOLUTION
MEASURE	calls.builtin_max	calls	max(a,b), hard builtin	0.04	us			15	
ASSERT	calls.hard_builtin_cheaper_than_user	calls	a hard-called builtin costs less than a user-defined proc	1		1	PASS		abs() 0.023 us vs 1-arg user proc 0.156 us
MEASURE	calls.builtin_vector_dot	calls	vector.Dot(), soft-called builtin	0.14	us			30	
ASSERT	calls.soft_builtin_above_hard	calls	a soft-called builtin costs more than a hard-called one	1		1	PASS		Dot() 0.136 us vs abs() 0.023 us, user proc 0.156 us
MEASURE	calls.hard_vs_user_ratio	calls	user proc cost divided by hard builtin cost	6.88	x				
SECTION	calls_deep			20.1	s				
MEASURE	profiler.call_cost_off	profiler	user proc call, profiler off	0.24	us				
MEASURE	profiler.call_cost_on	profiler	user proc call, profiler on	0.77	us				
MEASURE	profiler.call_cost_after	profiler	user proc call, profiler stopped again	0.21	us				
MEASURE	profiler.overhead_multiple	profiler	profiled cost divided by unprofiled	3.21	x				
ASSERT	profiler.perturbs_measurements	profiler	enabling the profiler measurably changes call cost	1		1	PASS		off 0.24 us, on 0.77 us, off again 0.21 us
ASSERT	profiler.overhead_is_reversible	profiler	stopping the profiler restores the original cost	1		1	PASS		0.24 us before, 0.21 us after stopping
ASSERT	profiler.returns_data	profiler	Profile() returns a populated list	1		1	PASS		12 entries
MEASURE	profiler.columns	profiler	column names	name/self/total/real/over/calls	names				
SECTION	profiler			12.3	s				
MEASURE	xcheck.timer_cheap	xcheck	XV_Cheap by this framework	0.167	us				
MEASURE	xcheck.timer_medium	xcheck	XV_Medium by this framework	0.233	us				
MEASURE	xcheck.timer_heavy	xcheck	XV_Heavy by this framework	1.367	us				
MEASURE	xcheck.profiler_cheap	xcheck	XV_Cheap self time by world.Profile	0.423	s-total				
MEASURE	xcheck.profiler_medium	xcheck	XV_Medium self time by world.Profile	0.538	s-total				
MEASURE	xcheck.profiler_heavy	xcheck	XV_Heavy self time by world.Profile	3.687	s-total				
ASSERT	xcheck.profiler_found_our_procs	xcheck	world.Profile reported the procs we called	1		1	PASS		cheap=0.423 medium=0.538 heavy=3.687
MEASURE	xcheck.ratio_timer	xcheck	heavy/cheap by this framework	8.2	x				
MEASURE	xcheck.ratio_profiler	xcheck	heavy/cheap by world.Profile	8.72	x				
ASSERT	xcheck.instruments_agree_on_ratio	xcheck	both instruments agree on the ratio between procs	1		1	PASS		framework 8.2x, profiler 8.72x
SECTION	xcheck			15.6	s				

# passed	44
# failed	0
# measured	85
# low_resolution	1
# result	PASS
