# suite	byond-canonical
# byond_version	516
# byond_build	1685
# system	windows
# runner_priority	High
# clock	tick_usage
# source_commit	bf9dc55
# merged_runs	3
# merged_from	S1685_1\results-516.1685-windows.tsv S1685_2\results-516.1685-windows.tsv S1685_3\results-516.1685-windows.tsv
kind	id	category	name	value	unit	expected	status	res	notes
MEASURE	view.clutter_1200_raw	view	view(7) build with 1200 extra objs	1652.2	us				n=3 min=1638.2 max=1739 spread=6%
MEASURE	view.clutter_1200_typed	view	typed loop with 1200 extra objs	42.1	us				n=3 min=41.3 max=42.4 spread=3%
MEASURE	view.clutter_2000_raw	view	view(7) build with 2000 extra objs	3339.7	us				n=3 min=3321.5 max=3381.5 spread=2%
MEASURE	view.clutter_2000_typed	view	typed loop with 2000 extra objs	53.5	us				n=3 min=52.1 max=56.8 spread=9%
ASSERT	view.typed_loop_skips_build	view	typed loop grows far less than raw view() as clutter rises	1		1	PASS		n=3 PASS/PASS/PASS; raw x14.1, typed x1.8 at 2667.37 atoms, 41 mobs
ASSERT	view.clutter_advantage_rises	view	the typed loop's advantage widens at every clutter level	1		1	PASS		n=3 PASS/PASS/PASS; 7.5x, 15.8x, 41x, 58.5x
ASSERT	view.same_operation_rows_agree	view	three rows timing the same typed view loop report the same cost	1		1	PASS		n=3 PASS/PASS/PASS; inline 29.03, family 26.78, clutter_0 31.34 us, ratio 1.17x
MEASURE	view.maintained_read	view	for(mob in a maintained list)	5.26	us				n=3 min=4.55 max=5.53 spread=19%
MEASURE	view.maintained_update	view	one remove plus one add on the list	0.24	us				n=3 min=0.2 max=0.24 spread=17%
ASSERT	view.maintained_equivalence	view	the maintained list iterates the same mobs the query returns	1		1	PASS		n=3 PASS/PASS/PASS; 41 from the list vs 41 from view(7)
MEASURE	view.maintained_moves_per_read	view	moves an atom may make between reads before the query wins	103.1	moves				n=3 min=98.9 max=120.2 spread=21%
MEASURE	view.range_with_opaque	view	for(mob in range(7,c)), 200 opaque	12.5	us				n=3 min=12 max=13 spread=8%
ASSERT	view.los_cost_is_unconditional	view	view() cost does not rise with opaque atom count	1		1	PASS		n=3 PASS/PASS/PASS; 31 us clear vs 19 us with 200 opaque
ASSERT	view.range_ignores_opacity	view	range() sees the same mobs whether or not they are occluded	1		1	PASS		n=3 PASS/PASS/PASS; range sees 41 mobs at 13 us with 200 opaque; view saw 41 with none and 2 with 200
ASSERT	view.occlusion_works	view	opaque atoms actually occlude	1		1	PASS		n=3 PASS/PASS/PASS; 41 mobs visible, 2 with 200 opaque
MEASURE	lists.in_n10	lists	needle in L, n=10, worst case	0.11	us				n=3 min=0.11 max=0.11 spread=0%
MEASURE	lists.assoc_n10	lists	A[needle], n=10	0.12	us				n=3 min=0.12 max=0.12 spread=0%
MEASURE	lists.find_n10	lists	L.Find(needle), n=10, worst case	0.28	us				n=3 min=0.27 max=0.29 spread=7%
MEASURE	lists.in_miss_n10	lists	needle in L, n=10, not present	0.11	us				n=3 min=0.11 max=0.12 spread=9%
MEASURE	lists.in_n50	lists	needle in L, n=50, worst case	0.21	us				n=3 min=0.2 max=0.22 spread=10%
MEASURE	lists.assoc_n50	lists	A[needle], n=50	0.13	us				n=3 min=0.13 max=0.13 spread=0%
MEASURE	lists.find_n50	lists	L.Find(needle), n=50, worst case	0.87	us				n=3 min=0.86 max=0.88 spread=2%
MEASURE	lists.in_miss_n50	lists	needle in L, n=50, not present	0.21	us				n=3 min=0.2 max=0.21 spread=5%
MEASURE	lists.in_n100	lists	needle in L, n=100, worst case	0.35	us				n=3 min=0.32 max=0.36 spread=11%
MEASURE	lists.assoc_n100	lists	A[needle], n=100	0.13	us				n=3 min=0.13 max=0.14 spread=8%
MEASURE	lists.find_n100	lists	L.Find(needle), n=100, worst case	1.54	us				n=3 min=1.52 max=1.59 spread=5%
MEASURE	lists.in_miss_n100	lists	needle in L, n=100, not present	0.33	us				n=3 min=0.33 max=0.33 spread=0%
MEASURE	lists.in_n500	lists	needle in L, n=500, worst case	1.27	us				n=3 min=1.27 max=1.41 spread=11%
MEASURE	lists.assoc_n500	lists	A[needle], n=500	0.15	us				n=3 min=0.15 max=0.15 spread=0%
MEASURE	lists.find_n500	lists	L.Find(needle), n=500, worst case	7.31	us				n=3 min=7.29 max=7.41 spread=2%
MEASURE	lists.in_miss_n500	lists	needle in L, n=500, not present	1.28	us				n=3 min=1.24 max=1.29 spread=4%
MEASURE	lists.in_n1000	lists	needle in L, n=1000, worst case	2.46	us				n=3 min=2.43 max=2.55 spread=5%
MEASURE	lists.assoc_n1000	lists	A[needle], n=1000	0.15	us				n=3 min=0.15 max=0.16 spread=7%
MEASURE	lists.find_n1000	lists	L.Find(needle), n=1000, worst case	14.6	us				n=3 min=14.6 max=14.8 spread=1%
MEASURE	lists.in_miss_n1000	lists	needle in L, n=1000, not present	2.38	us				n=3 min=2.37 max=2.43 spread=3%
MEASURE	lists.in_n5000	lists	needle in L, n=5000, worst case	11.5	us				n=3 min=11 max=12.4 spread=12%
MEASURE	lists.assoc_n5000	lists	A[needle], n=5000	0.18	us				n=3 min=0.18 max=0.19 spread=6%
MEASURE	lists.find_n5000	lists	L.Find(needle), n=5000, worst case	70.1	us				n=3 min=69.7 max=70.2 spread=1%
MEASURE	lists.in_miss_n5000	lists	needle in L, n=5000, not present	11.2	us				n=3 min=11 max=12.5 spread=13%
ASSERT	lists.find_costs_about_the_same_as_in	lists	L.Find() costs about what the equivalent `in` scan costs	0		1	FAIL		n=3 FAIL/FAIL/FAIL; Find 14.62 us vs in 2.43 us at n=1000, 6.03x; regressed in 516.1674
ASSERT	lists.in_scales_with_size	lists	linear search cost rises at every list size	1		1	PASS		n=3 PASS/PASS/PASS; 10:0.11 50:0.21 100:0.32 500:1.27 1000:2.43 5000:11.03 us
ASSERT	lists.assoc_stays_flat	lists	associative lookup does not scale with list size	1		1	PASS		n=3 PASS/PASS/PASS; 10:0.12 5000:0.18 us, against in at 5000 of 11.03
MEASURE	lists.build_plus	lists	L = list(); L += j  x100	13.6	us				n=3 min=12 max=13.8 spread=13%
MEASURE	lists.build_add	lists	L = list(); L.Add(j)  x100	19.5	us				n=3 min=18 max=20.2 spread=11%
MEASURE	lists.build_prealloc	lists	L = new(100); indexed assign x100	14.8	us				n=3 min=14.4 max=17.4 spread=20%
MEASURE	lists.copy_100	lists	L.Copy(), 100 elements	1.88	us				n=3 min=1.86 max=1.92 spread=3%
MEASURE	dispatch.istype	dispatch	istype(O, /obj/thing)	0.11	us				n=3 min=0.11 max=0.11 spread=0%
MEASURE	dispatch.type_eq	dispatch	O.type == /obj/thing	0.1	us				n=3 min=0.09 max=0.1 spread=10%
MEASURE	dispatch.bitfield	dispatch	O.flags & FLAG_A	0.08	us				n=3 min=0.08 max=0.09 spread=12%
MEASURE	dispatch.assoc_category	dispatch	O.cats assoc lookup	0.12	us				n=3 min=0.12 max=0.13 spread=8%
MEASURE	dispatch.locate_in_contents	dispatch	locate(type) in O, 1 item	0.15	us				n=3 min=0.14 max=0.15 spread=7%
MEASURE	dispatch.istype_d1	dispatch	istype, depth-1 hit, untyped var	0.11	us				n=3 min=0.1 max=0.11 spread=9%
MEASURE	dispatch.istype_d8	dispatch	istype, depth-8 exact hit	0.11	us				n=3 min=0.1 max=0.11 spread=9%
MEASURE	dispatch.istype_ancestor	dispatch	istype, depth-8 instance vs depth-1 ancestor	0.11	us				n=3 min=0.1 max=0.12 spread=18%
MEASURE	dispatch.istype_unrelated	dispatch	istype, unrelated-branch miss	0.11	us				n=3 min=0.11 max=0.12 spread=9%
MEASURE	dispatch.typesof_d1	dispatch	typesof, depth-1 mob type, 9 subtypes	0.41	us				n=3 min=0.39 max=0.44 spread=12%
MEASURE	dispatch.typesof_d8	dispatch	typesof, depth-8 mob type, 1 subtype	0.32	us				n=3 min=0.3 max=0.34 spread=13%
ASSERT	dispatch.istype_flat	dispatch	istype cost is flat across depth and relatedness	1		1	PASS		n=3 PASS/PASS/PASS; d1 0.107 d8 0.101 ancestor 0.102 unrelated 0.11 us/op
ASSERT	dispatch.typesof_control_scales	dispatch	typesof on a 9-subtype mob type outranks a 1-subtype one	1		1	PASS		n=3 PASS/PASS/PASS; d1 0.407 us/op vs d8 0.317 us/op
MEASURE	calls.global_proc	calls	GlobalProc(), empty	0.18	us				n=3 min=0.17 max=0.18 spread=6%
MEASURE	calls.datum_method	calls	D.Method(), empty	0.21	us				n=3 min=0.21 max=0.22 spread=5%
MEASURE	calls.datum_method_dot	calls	D.Method(), sets . = 1	0.23	us				n=3 min=0.23 max=0.24 spread=4%
MEASURE	vars.local	calls	acc += local_var	0.03	us				BASELINE_HEAVY; WIDE_SPREAD; n=3 min=0.01 max=0.03 spread=67%
MEASURE	vars.global	calls	acc += global_var	0.02	us				BASELINE_HEAVY; WIDE_SPREAD; n=3 min=0.01 max=0.02 spread=50%
MEASURE	vars.world_time	calls	acc += world.time	0.04	us				BASELINE_HEAVY; WIDE_SPREAD; n=3 min=0.04 max=0.05 spread=25%
MEASURE	vars.datum	calls	acc += D.x	0.1	us				BASELINE_HEAVY; n=3 min=0.09 max=0.1 spread=10%
MEASURE	strings.embed	strings	s = embedded expression	0.38	us				n=3 min=0.36 max=0.38 spread=5%
MEASURE	strings.concat	strings	s = a + b	0.37	us				n=3 min=0.3 max=0.37 spread=19%
MEASURE	strings.num2text	strings	num2text(i)	1.07	us				n=3 min=1.02 max=1.14 spread=11%
MEASURE	strings.findtext	strings	findtext, 43-char haystack	2.53	us				n=3 min=2.29 max=2.72 spread=17%
MEASURE	alloc.datum	alloc	new /datum	0.23	us				n=3 min=0.22 max=0.25 spread=13%
MEASURE	alloc.datum_holder	alloc	new /datum/pc_holder	0.23	us				n=3 min=0.22 max=0.25 spread=13%
MEASURE	alloc.obj	alloc	new /obj	0.54	us				n=3 min=0.52 max=0.54 spread=4%
MEASURE	alloc.mob	alloc	new /mob	0.58	us				n=3 min=0.56 max=0.59 spread=5%
MEASURE	alloc.datum_30vars	alloc	new /datum/pc_vars30	0.23	us				n=3 min=0.22 max=0.24 spread=9%
MEASURE	alloc.datum_3lists	alloc	new /datum/pc_lists3	1.27	us				n=3 min=1.27 max=1.29 spread=2%
ASSERT	alloc.initialisers_cost_more_than_bare_vars	alloc	three list initialisers cost more per instance than thirty bare vars	1		1	PASS		n=3 PASS/PASS/PASS; plain 0.22, 30 bare vars 0.22, 3 list inits 1.27 us
MEASURE	movement.loc_assign	movement	M.loc = T	0.31	us				n=3 min=0.29 max=0.32 spread=10%
MEASURE	movement.move_proc	movement	M.Move(T)	2.6	us				n=3 min=2.59 max=2.75 spread=6%
MEASURE	movement.move_proc_overridden	movement	M.Move(T) with 4 overridden callbacks	4.2	us				n=3 min=4.05 max=4.45 spread=10%
ASSERT	movement.move_fires_callbacks	movement	Move() fires Enter, Exit, Entered and Exited	1		1	PASS		n=3 PASS/PASS/PASS; Enter=1000 Exit=1000 Entered=1000 Exited=1000 over 1000 moves
ASSERT	movement.loc_assign_skips_callbacks	movement	assigning loc fires none of them	0		0	PASS		n=3 PASS/PASS/PASS
ASSERT	io.file_write_does_not_yield	io	file write does not yield to the scheduler	1		1	PASS		n=3 PASS/PASS/PASS; world.time 395 before, 395 after 4000 writes
ASSERT	io.world_log_does_not_yield	io	world.log write does not yield to the scheduler	1		1	PASS		n=3 PASS/PASS/PASS; world.time 395 before, 395 after 20000 writes
MEASURE	io.file_write_short	io	file << 10-char line	202.4	us				n=3 min=197.2 max=226.3 spread=14%
MEASURE	io.file_write_long	io	file << 1000-char line	221.1	us				n=3 min=211.1 max=237.8 spread=12%
ASSERT	io.write_cost_is_per_call_not_per_byte	io	write cost is dominated by the call, not the payload	1		1	PASS		n=3 PASS/PASS/PASS; 226 us at 10 chars, 238 us at 1000 chars, 100x the data, medians of 3
ASSERT	io.long_write_not_cheaper_than_short	io	a 1000-char write does not cost less than a 10-char one	1		1	PASS		n=3 PASS/PASS/PASS; short 226 us, long 238 us, ratio 1.05x
MEASURE	io.world_log_short	io	world.log << 10-char line	4.41	us				n=3 min=4.4 max=4.56 spread=4%
ASSERT	io.world_log_cheaper_than_file	io	world.log is materially cheaper than a direct file write	1		1	PASS		n=3 PASS/PASS/PASS; world.log 4 us vs file 226 us, 51.3x
MEASURE	io.file_write_interpolated	io	file << line with one embedded value	211.2	us				n=3 min=201.7 max=214 spread=6%
ASSERT	io.logging_does_not_perturb	io	a burst of writes does not shift a following measurement	1		1	PASS		n=3 PASS/PASS/PASS; control 0.142 us, own drift 0, after 500 file writes 0.135, after 500 world.log 0.14
MEASURE	calls.user_0args	calls	user proc, 0 args	0.17	us				n=3 min=0.17 max=0.18 spread=6%
MEASURE	calls.user_1arg	calls	user proc, 1 arg	0.2	us				n=3 min=0.19 max=0.2 spread=5%
MEASURE	calls.user_4args	calls	user proc, 4 args	0.25	us				n=3 min=0.25 max=0.25 spread=0%
MEASURE	calls.user_8args	calls	user proc, 8 args	0.3	us				n=3 min=0.29 max=0.3 spread=3%
ASSERT	calls.args_are_copied	calls	call cost rises with argument count	1		1	PASS		n=3 PASS/PASS/PASS; 0 args 0.182 us, 8 args 0.298 us
MEASURE	calls.builtin_abs	calls	abs(x), hard builtin	0.02	us				n=3 min=0.02 max=0.02 spread=0%
MEASURE	calls.builtin_max	calls	max(a,b), hard builtin	0.06	us				n=3 min=0.06 max=0.07 spread=17%
ASSERT	calls.hard_builtin_cheaper_than_user	calls	a hard-called builtin costs less than a user-defined proc	1		1	PASS		n=3 PASS/PASS/PASS; abs() 0.024 us vs 1-arg user proc 0.189 us
MEASURE	calls.builtin_vector_dot	calls	vector.Dot(), soft-called builtin	0.11	us				n=3 min=0.11 max=0.12 spread=9%
ASSERT	calls.soft_builtin_above_hard	calls	a soft-called builtin costs more than a hard-called one	1		1	PASS		n=3 PASS/PASS/PASS; Dot() 0.107 us vs abs() 0.024 us, user proc 0.189 us
MEASURE	calls.hard_vs_user_ratio	calls	user proc cost divided by hard builtin cost	9.59	x				n=3 min=7.8 max=10.19 spread=25%
MEASURE	profiler.call_cost_off	profiler	user proc call, profiler off	0.23	us				n=3 min=0.23 max=0.24 spread=4%
MEASURE	profiler.call_cost_on	profiler	user proc call, profiler on	0.83	us				n=3 min=0.81 max=0.83 spread=2%
MEASURE	profiler.call_cost_after	profiler	user proc call, profiler stopped again	0.24	us				n=3 min=0.24 max=0.25 spread=4%
MEASURE	profiler.overhead_multiple	profiler	profiled cost divided by unprofiled	3.46	x				n=3 min=3.41 max=3.61 spread=6%
ASSERT	profiler.perturbs_measurements	profiler	enabling the profiler measurably changes call cost	1		1	PASS		n=3 PASS/PASS/PASS; off 0.231 us, on 0.834 us, off again 0.238 us
ASSERT	profiler.overhead_is_reversible	profiler	stopping the profiler restores the original cost	1		1	PASS		n=3 PASS/PASS/PASS; 0.231 us before, 0.238 us after stopping, profiled 0.834, medians of 3
ASSERT	profiler.returns_data	profiler	Profile() returns a populated list	1		1	PASS		n=3 PASS/PASS/PASS; 12 entries
MEASURE	profiler.columns	profiler	column names	name/self/total/real/over/calls	names				n=3
MEASURE	xcheck.timer_cheap	xcheck	XV_Cheap, an empty proc	0.21	us				n=3 min=0.2 max=0.21 spread=5%
MEASURE	xcheck.timer_medium	xcheck	XV_Medium by this framework	0.26	us				n=3 min=0.25 max=0.27 spread=8%
MEASURE	xcheck.timer_heavy	xcheck	XV_Heavy by this framework	1.33	us				n=3 min=1.31 max=1.34 spread=2%
MEASURE	xcheck.profiler_cheap	xcheck	XV_Cheap self time	1.43	s-total				n=3 min=1.42 max=1.56 spread=9%
MEASURE	xcheck.profiler_medium	xcheck	XV_Medium self time	1.79	s-total				n=3 min=1.69 max=1.87 spread=10%
MEASURE	xcheck.profiler_heavy	xcheck	XV_Heavy self time	2.59	s-total				n=3 min=2.5 max=2.62 spread=5%
ASSERT	xcheck.profiler_found_our_procs	xcheck	world.Profile reported the procs we called	1		1	PASS		n=3 PASS/PASS/PASS; cheap=1.559 medium=1.867 heavy=2.499
ASSERT	xcheck.instruments_agree_on_order	xcheck	both instruments rank the three procs the same way	1		1	PASS		n=3 PASS/PASS/PASS; timer 0.201/0.257/1.336 us, profiler per call 0/0/1e-06
MEASURE	xcheck.ratio_timer	xcheck	heavy/medium work by this framework	20.3	x				WIDE_SPREAD; n=3 min=19.13 max=25.99 spread=34%
MEASURE	xcheck.ratio_profiler	xcheck	heavy/medium work by world.Profile	21.2	x				n=3 min=20.59 max=25.6 spread=24%

# passed	58
# failed	1
# unstable	0
# measured	118
# wide_spread	4
# result	FAIL
